Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
11931	258	61	242	64
11932	245	61	242	221
11933	258	51	242	230
11934	242	64	258	230
11935	258	51	239	230
11936	51	245	252	230
11937	64	245	258	230
11938	255	64	242	243
11939	245	61	255	227
11940	231	51	242	243
11941	248	64	255	230
11942	261	61	585	51
11943	51	245	258	230
11944	61	258	242	230
11945	255	51	245	230
11946	255	64	215	243
11947	245	64	255	230
11948	224	51	255	230
11949	245	61	215	231
11950	51	258	258	230
11951	48	245	252	230
11952	255	48	242	234
11953	245	64	252	230
11954	897	64	218	240
11955	242	64	252	230
11956	255	51	242	64
11957	245	221	54	255
11958	245	230	67	242
11959	231	51	245	64
11960	255	51	245	240
11961	258	64	636	243
11962	258	48	242	230
11963	228	51	245	243
11964	64	255	242	231
11965	61	255	242	230
11966	218	64	252	230
11967	258	48	242	246
11968	245	61	255	221
11969	258	48	242	243
11970	245	64	255	230
11971	64	258	245	243
11972	48	245	228	230
11973	245	64	242	218
11974	242	64	243	227
11975	258	51	215	233
11976	258	61	242	227
11977	258	51	242	240
11978	51	218	245	231
11979	197	64	255	230
11980	242	64	682	243
11981	258	48	215	227
11982	258	61	242	230
11983	258	51	242	243
11984	51	242	194	230
11985	61	197	242	227
11986	243	48	242	234
11987	255	64	242	234
11988	224	61	242	243
11989	242	64	258	230
11990	285	64	255	221
11991	48	879	230	209
11992	64	258	239	233
11993	255	51	245	243
11994	255	64	245	243
11995	245	48	255	230
11996	255	51	245	243
11997	218	64	64	51
11998	255	194	54	242
11999	255	230	67	421
12000	184	51	64	64
12001	242	64	255	230
12002	255	51	245	240
12003	245	61	258	230
12004	258	51	224	230
12005	258	61	252	230
12006	64	258	242	243
12007	51	255	218	243
12008	258	51	255	230
12009	312	51	242	243
12010	258	48	215	227
12011	258	61	242	230
12012	218	64	255	51
12013	245	243	51	215
12014	258	230	67	255
12015	221	51	242	64
12016	230	64	255	221
12017	258	51	242	240
12018	242	64	255	515
12019	255	64	245	243
12020	245	61	255	230
12021	64	243	215	227
12022	194	51	242	243
12023	245	64	252	230
12024	245	51	228	230
12025	258	48	242	243
12026	245	61	164	51
12027	258	230	64	221
12028	461	227	67	258
12029	255	230	258	64
12030	245	61	255	221
12031	255	51	242	243
12032	242	61	255	230
12033	255	48	245	224
12034	245	64	255	218
12035	164	194	215	240
12036	51	240	242	243
12037	245	64	255	609
12038	258	61	242	243
12039	245	64	215	230
12040	245	61	255	227
12041	242	64	258	64
12042	245	237	51	242
12043	245	246	51	242
12044	194	64	255	51
12045	245	61	255	227
12046	258	61	242	243
12047	542	64	255	230
12048	258	61	242	221
12049	242	61	255	230
12050	64	255	242	243
12051	194	51	239	243
12052	245	48	255	230
12053	242	64	255	230
12054	255	51	215	233
12055	245	61	255	51
12056	255	230	67	258
12057	242	230	64	252
12058	242	243	258	51
12059	258	61	242	230
12060	245	61	255	230
12061	245	61	258	230
12062	255	51	255	1458
12063	242	64	255	218
12064	64	258	245	243
12065	48	242	255	230
12066	615	64	255	233
12067	242	64	258	230
12068	242	61	258	227
12069	258	61	215	227
12070	245	64	255	227
12071	64	258	242	230
12072	51	242	255	227
12073	242	64	218	240
12074	242	64	258	230
12075	258	51	242	218
12076	245	64	255	230
12077	218	61	224	243
12078	51	258	227	224
12079	64	258	245	240
12080	248	64	255	230
12081	255	51	239	243
12082	245	64	255	230
12083	258	48	242	230
12084	258	64	161	51
12085	255	451	67	258
12086	248	243	54	239
12087	245	233	255	51
12088	255	51	242	240
12089	242	64	237	230
12090	261	51	245	243
12091	255	51	239	230
12092	255	61	218	221
12093	48	245	255	230
12094	64	258	239	243
12095	242	64	224	240
12096	258	64	242	243
12097	218	64	255	230
12098	258	48	242	218
12099	245	61	255	1360
12100	51	218	245	230
12101	51	245	255	221
12102	258	48	242	243
12103	258	61	245	227
12104	258	61	236	243
12105	242	64	255	230
12106	258	48	151	64
12107	245	243	54	242
12108	255	230	67	255
12109	255	61	215	64
12110	255	51	218	230
12111	255	64	218	227
12112	227	64	255	230
12113	245	61	224	227
12114	245	61	255	230
12115	64	218	255	230
12116	64	242	242	221
12117	245	61	255	230
12118	218	61	258	230
12119	258	51	245	243
12120	248	61	258	230
12121	242	61	242	48
12122	255	230	64	242
12123	255	512	161	48
12124	245	61	215	243
12125	258	64	242	243
12126	245	61	258	230
12127	258	51	215	230
12128	245	61	258	230
12129	61	258	239	243
12130	51	258	224	234
12131	255	61	242	243
12132	245	61	258	230
12133	255	51	245	231
12134	258	64	245	230
12135	245	51	258	64
12136	51	1203	224	230
12137	51	245	252	227
12138	245	64	255	227
12139	245	48	255	230
12140	221	51	242	240
12141	242	64	252	230
12142	255	51	457	243
12143	61	258	242	243
12144	48	255	242	230
12145	245	61	258	230
12146	258	51	242	243
12147	245	64	237	227
12148	255	48	242	243
12149	242	64	255	51
12150	258	233	64	255
12151	242	246	54	242
12152	215	64	255	64
12153	245	61	255	227
12154	258	48	242	243
12155	218	64	242	227
12156	255	51	239	221
12157	245	243	242	243
12158	64	221	255	233
12159	194	51	255	227
12160	258	48	242	243
12161	297	64	237	445
12162	200	64	231	218
12163	197	48	200	230
12164	212	64	282	212
12165	64	243	221	221
12166	64	197	203	227
12167	194	51	181	230
12168	224	51	181	221
12169	194	64	191	231
12170	230	64	191	219
12171	245	61	194	243
12172	64	248	239	230
12173	64	1176	227	230
12174	261	48	242	243
12175	255	64	242	243
12176	245	67	209	221
12177	194	61	200	237
12178	218	64	224	243
12179	64	194	255	203
12180	51	218	582	218
12181	194	61	194	218
12182	224	64	194	221
12183	243	51	215	227
12184	221	64	67	51
12185	358	197	54	218
12186	197	197	54	194
12187	194	64	67	64
12188	197	51	206	227
12189	221	61	234	218
12190	272	51	231	206
12191	197	61	215	231
12192	51	258	236	245
12193	64	224	240	218
12194	197	61	231	215
12195	245	61	197	243
12196	246	51	194	212
12197	215	64	194	221
12198	143	64	218	206
12199	51	200	215	461
12200	243	51	221	227
12201	242	64	224	230
12202	221	51	194	243
12203	224	64	233	246
12204	258	64	252	209
12205	48	197	224	221
12206	197	48	245	243
12207	242	64	255	230
12208	194	64	218	243
12209	342	64	258	230
12210	888	64	242	219
12211	197	194	209	209
12212	64	218	206	246
12213	258	61	215	237
12214	206	64	237	230
12215	242	61	221	252
12216	197	64	194	206
12217	237	64	224	234
12218	48	197	218	512
12219	64	64	215	233
12220	194	64	194	209
12221	194	64	231	233
12222	242	64	255	206
12223	218	48	221	64
12224	194	233	67	194
12225	258	194	67	194
12226	48	266	242	64
12227	255	64	245	230
12228	457	63	248	230
12229	197	73	240	218
12230	203	79	234	209
12231	203	64	4464	203
12232	-1	-1	-1	-1
12233	61	67	237	221
12234	221	54	245	246
12235	200	70	231	200
12236	243	67	200	203
12237	227	54	230	606
12238	60	645	261	200
12239	67	197	564	233
12240	237	54	218	249
12241	184	57	181	200
12242	206	51	218	227
12243	215	67	197	221
12244	215	54	194	73
12245	194	240	54	224
12246	230	64	224	60
12247	318	64	825	285
12248	197	51	242	237
12249	227	70	243	233
12250	234	51	203	276
12251	64	197	194	197
12252	67	197	197	194
12253	200	82	246	203
12254	240	54	221	203
12255	218	64	215	231
12256	200	64	246	600
12257	200	215	194	206
12258	64	197	231	200
12259	200	67	194	297
12260	249	73	212	224
12261	236	70	224	242
12262	197	73	200	254
12263	233	64	203	240
12264	70	203	621	221
12265	60	51	218	258
12266	646	54	236	212
12267	200	60	333	367
12268	206	64	200	200
12269	231	54	197	54
12270	200	203	67	234
12271	209	330	67	234
12272	215	67	200	70
12273	197	67	246	221
12274	233	67	194	221
12275	261	64	197	215
12276	197	54	212	206
12277	51	234	245	206
12278	54	197	230	394
12279	276	64	221	237
12280	197	51	227	200
12281	200	73	197	203
12282	221	70	222	200
12283	67	57	224	252
12284	51	200	230	200
12285	64	367	197	264
12286	1378	57	200	206
12287	197	70	237	230
12288	197	57	181	224
12289	231	51	218	230
12290	215	64	221	197
12291	64	206	209	231
12292	206	70	191	215
12293	200	67	221	258
12294	218	51	245	216
12295	194	73	309	224
12296	200	57	197	51
12297	230	240	54	203
12298	237	248	54	70
12299	230	60	200	200
12300	222	51	227	249
12301	203	64	200	237
12302	664	73	240	251
12303	209	203	200	203
12304	67	494	197	197
12305	212	70	234	203
12306	200	51	257	200
12307	224	57	200	224
12308	264	67	403	234
12309	218	64	76	70
12310	200	194	76	184
12311	224	240	54	221
12312	209	66	76	73
12313	212	70	215	234
12314	212	67	200	242
12315	203	67	200	209
12316	197	70	227	224
12317	60	209	264	221
12318	73	203	218	245
12319	263	63	224	243
12320	218	61	255	230
12321	197	51	239	249
12322	242	61	258	230
12323	733	64	64	48
12324	245	243	54	242
12325	255	230	67	255
12326	258	185	67	61
12327	258	48	230	243
12328	245	61	258	230
12329	258	64	242	243
12330	242	64	218	227
12331	-1	-1	-1	-1
12332	-1	-1	-1	-1
12333	-1	-1	-1	-1
12334	-1	-1	-1	-1
12335	-1	-1	-1	-1
12336	-1	-1	-1	-1
12337	-1	-1	-1	-1
12338	239	79	240	394
12339	261	221	251	243
12340	254	73	218	212
12341	70	240	242	251
12342	57	648	236	273
12343	261	54	200	203
12344	261	70	246	248
12345	252	79	245	255
12346	203	70	197	258
12347	288	64	173	73
12348	212	245	63	251
12349	264	261	73	227
12350	261	146	64	76
12351	239	112	303	251
12352	261	70	255	579
12353	245	48	255	218
12354	255	48	242	240
12355	245	61	255	230
12356	64	233	239	221
12357	194	48	242	230
12358	258	51	242	206
12359	233	61	255	230
12360	609	64	218	230
12361	228	48	454	243
12362	64	245	255	230
12363	51	245	215	222
12364	194	48	242	206
12365	242	64	255	227
12366	230	64	231	230
12367	309	51	242	206
12368	227	61	215	51
12369	221	194	54	242
12370	330	152	64	51
12371	224	64	245	219
12372	245	61	255	203
12373	194	61	255	261
12374	218	61	194	230
12375	181	48	258	221
12376	48	245	255	230
12377	194	64	194	240
12378	239	64	255	330
12379	224	51	231	230
12380	242	64	476	230
12381	255	51	215	230
12382	97	194	218	218
12383	64	194	191	203
12384	206	48	215	227
12385	248	48	255	209
12386	194	48	228	227
12387	258	51	239	221
12388	194	64	234	218
12389	64	218	288	203
12390	194	51	242	243
12391	255	48	218	230
12392	239	61	255	233
12393	245	51	255	230
12394	255	64	245	246
12395	221	64	218	206
12396	51	255	1518	231
12397	242	64	258	230
12398	245	64	218	243
12399	242	64	606	243
12400	255	51	242	240
12401	245	61	255	227
12402	255	64	242	230
12403	51	245	255	230
12404	197	64	243	221
12405	242	64	258	227
12406	255	48	242	231
12407	242	61	255	233
12408	258	48	245	64
12409	242	243	54	245
12410	258	230	64	242
12411	237	57	54	51
12412	258	48	242	243
12413	261	48	242	243
12414	255	51	242	218
12415	258	64	242	230
12416	70	221	252	233
12417	48	231	221	218
12418	255	48	612	227
12419	255	64	242	230
12420	233	64	242	243
12421	255	51	215	230
12422	261	61	164	51
12423	231	230	67	242
12424	248	246	51	221
12425	197	64	194	64
12426	218	64	242	243
12427	245	64	255	218
12428	230	64	252	233
12429	218	64	252	230
12430	170	242	255	221
12431	64	245	239	230
12432	255	51	230	240
12433	245	48	255	230
12434	245	61	242	230
12435	221	61	215	652
12436	342	61	255	206
12437	64	242	258	458
12438	51	242	215	243
12439	242	48	255	230
12440	258	61	242	224
12441	245	64	255	224
12442	258	64	239	230
12443	258	51	239	227
12444	64	258	242	231
12445	61	242	255	230
12446	255	51	191	233
12447	324	64	252	221
12448	228	48	239	230
12449	242	64	252	206
12450	255	51	51	51
12451	245	243	54	242
12452	267	194	67	224
12453	245	61	64	64
12454	231	51	245	240
12455	218	51	230	255
12456	255	51	197	533
12457	242	64	194	243
12458	64	267	206	246
12459	51	237	233	234
12460	258	51	218	221
12461	218	64	242	219
12462	255	51	242	218
12463	197	64	252	230
12464	130	258	242	243
12465	48	258	255	230
12466	409	61	255	230
12467	242	64	255	230
12468	194	61	245	221
12469	240	51	245	221
12470	242	51	255	64
12471	197	197	64	255
12472	258	1215	67	64
12473	200	61	215	206
12474	261	61	245	230
12475	258	48	242	588
12476	242	51	237	227
12477	258	48	245	243
12478	258	61	242	243
12479	64	197	215	221
12480	51	242	255	230
12481	218	61	255	230
12482	245	61	258	227
12483	231	51	242	230
12484	303	51	242	243
12485	603	61	64	48
12486	181	230	67	191
12487	227	227	139	51
12488	258	64	242	222
12489	255	51	239	230
12490	258	64	221	243
12491	258	51	242	243
12492	245	64	224	209
12493	64	194	218	218
12494	51	194	194	219
12495	230	61	200	230
12496	221	64	191	255
12497	194	48	224	209
12498	197	64	64	64
12499	218	230	54	240
12500	197	200	67	215
12501	224	61	67	51
12502	218	51	255	230
12503	258	64	245	218
12504	594	64	252	233
12505	218	64	258	230
12506	64	242	255	227
12507	51	1555	194	221
12508	200	48	221	221
12509	197	48	251	240
12510	255	48	242	243
12511	218	48	218	224
12512	194	51	230	203
12513	61	197	191	237
12514	51	197	194	218
12515	181	51	258	230
12516	245	64	255	230
12517	218	61	218	218
12518	206	51	239	209
12519	194	64	194	243
12520	64	191	197	221
12521	178	51	258	218
12522	227	61	194	218
12523	258	48	242	243
12524	224	64	215	243
12525	221	61	224	285
12526	48	221	206	267
12527	64	197	200	209
12528	194	51	237	221
12529	212	61	218	224
12530	258	64	224	206
12531	218	48	164	64
12532	218	194	51	194
12533	258	230	67	227
12534	194	48	260	48
12535	258	48	221	221
12536	224	51	218	206
12537	194	64	242	219
12538	184	51	194	234
12539	51	197	215	206
12540	61	194	276	203
12541	291	64	194	230
12542	258	61	348	209
12543	233	64	234	230
12544	242	61	270	282
12545	236	61	194	222
12546	91	194	1251	219
12547	227	64	194	209
12548	228	51	218	218
12549	203	48	224	218
12550	197	61	194	218
12551	145	51	242	230
12552	51	245	294	224
12553	212	64	233	206
12554	197	64	191	240
12555	218	64	273	224
12556	240	48	221	209
12557	194	51	291	321
12558	64	215	255	255
12559	197	61	224	237
12560	197	61	218	288
12561	243	51	291	206
12562	194	64	221	231
12563	224	51	64	64
12564	200	194	64	224
12565	224	197	64	194
12566	194	64	227	246
12567	181	48	325	206
12568	194	64	191	221
12569	194	51	178	209
12570	194	64	255	227
12571	51	224	221	206
12572	191	64	221	243
12573	237	48	221	221
12574	197	51	291	221
12575	218	48	106	64
12576	218	197	64	227
12577	255	194	54	194
12578	203	64	191	51
12579	197	61	191	230
12580	221	64	385	209
12581	194	64	218	206
12582	218	64	255	230
12583	1088	64	194	243
12584	64	218	252	224
12585	64	197	215	243
12586	242	64	194	209
12587	194	51	194	206
12588	230	61	197	246
12589	245	64	255	209
12590	48	51	255	230
12591	51	194	194	227
12592	51	197	230	243
12593	245	61	194	206
12594	258	61	242	240
12595	221	64	237	221
12596	231	48	194	227
12597	215	48	255	218
12598	51	242	267	221
12599	221	61	512	209
12600	197	48	194	237
12601	194	64	194	206
12602	194	64	194	152
12603	218	194	67	197
12604	242	243	51	242
12605	215	233	164	64
12606	194	61	194	206
12607	194	51	215	206
12608	270	64	242	219
12609	218	64	215	249
12610	258	51	224	230
12611	64	258	242	243
12612	61	242	242	209
12613	258	51	239	209
12614	227	64	215	209
12615	224	61	218	218
12616	218	61	209	234
12617	48	194	194	219
12618	64	64	194	445
12619	331	48	181	206
12620	1067	51	245	240
12621	197	48	242	203
12622	197	61	242	64
12623	240	224	67	191
12624	321	230	64	240
12625	255	51	54	51
12626	242	61	255	230
12627	194	61	231	230
12628	494	51	215	209
12629	203	64	218	218
12630	51	248	252	221
12631	64	258	215	227
12632	218	51	242	243
12633	258	64	239	233
12634	181	48	255	230
12635	215	64	224	230
12636	242	61	242	51
12637	209	237	51	506
12638	245	243	51	242
12639	248	61	194	231
12640	242	64	255	206
12641	258	51	194	206
12642	245	64	258	230
12643	218	61	258	230
12644	61	194	252	224
12645	51	245	237	233
12646	191	164	294	237
12647	242	64	194	240
12648	209	48	242	243
12649	242	51	258	170
12650	255	233	167	191
12651	245	197	64	255
12652	255	230	218	51
12653	245	64	252	230
12654	218	51	194	218
12655	255	64	239	243
12656	258	48	224	1758
12657	227	61	255	209
12658	258	230	255	230
12659	64	231	218	227
12660	194	64	242	243
12661	224	64	191	221
12662	255	51	215	230
12663	242	64	218	243
12664	215	64	255	230
12665	64	258	242	231
12666	64	245	242	221
12667	245	61	258	236
12668	194	64	224	252
12669	215	64	231	221
12670	218	64	194	240
12671	273	61	197	64
12672	245	194	54	218
12673	231	224	215	51
12674	242	51	255	209
12675	191	64	255	506
12676	194	51	221	203
12677	218	51	242	243
12678	227	64	224	237
12679	64	197	200	206
12680	51	215	218	230
12681	227	48	197	243
12682	221	64	191	203
12683	255	51	242	243
12684	245	61	194	218
12685	424	61	67	61
12686	255	230	64	255
12687	194	243	54	240
12688	258	51	215	61
12689	194	48	224	218
12690	255	51	242	243
12691	255	51	239	227
12692	258	61	242	243
12693	64	242	255	230
12694	48	258	242	539
12695	242	48	255	230
12696	706	48	255	221
12697	245	61	255	203
12698	245	61	245	227
12699	245	64	252	51
12700	261	230	51	258
12701	242	243	67	242
12702	234	51	239	61
12703	242	64	258	230
12704	515	64	258	230
12705	191	51	245	230
12706	221	64	252	233
12707	109	258	218	230
12708	64	224	255	230
12709	218	51	245	243
12710	245	48	255	221
12711	255	64	218	243
12712	218	61	255	230
12713	258	51	242	218
12714	64	242	255	227
12715	64	231	242	243
12716	242	64	255	230
12717	258	51	239	243
12718	245	64	231	230
12719	255	64	239	227
12720	245	61	255	230
12721	64	258	218	230
12722	51	245	255	230
12723	566	64	255	233
12724	242	61	234	227
12725	258	48	242	243
12726	245	64	255	230
12727	258	51	242	64
12728	224	230	54	255
12729	255	230	64	252
12730	181	51	234	51
12731	242	48	255	227
12732	242	64	318	955
12733	415	64	252	218
12734	245	61	255	227
12735	255	51	239	243
12736	64	255	239	227
12737	64	245	242	227
12738	258	61	242	243
12739	258	51	242	243
12740	245	61	242	230
12741	242	64	243	230
12742	255	51	245	64
12743	245	233	67	242
12744	258	230	64	255
12745	194	48	245	64
12746	237	48	245	243
12747	245	61	243	230
12748	255	48	242	240
12749	218	64	215	243
12750	170	258	236	224
12751	51	245	255	230
12752	194	61	255	230
12753	245	64	255	221
12754	255	51	245	243
12755	245	64	252	230
12756	258	51	242	243
12757	157	245	252	230
12758	61	248	228	230
12759	242	64	255	230
12760	258	48	242	243
12761	242	64	221	243
12762	245	64	252	230
12763	255	51	242	240
12764	64	255	245	240
12765	51	258	255	230
12766	242	48	255	227
12767	258	64	1451	224
12768	215	51	255	227
12769	242	61	255	227
12770	242	51	258	218
12771	242	64	258	230
12772	48	218	255	230
12773	64	255	242	230
12774	245	61	255	230
12775	258	48	242	243
12776	218	48	242	240
12777	258	51	239	230
12778	242	64	255	51
12779	258	230	64	255
12780	242	473	64	176
12781	258	48	218	230
12782	242	64	242	233
12783	224	64	194	240
12784	245	61	218	243
12785	255	51	245	243
12786	48	242	255	230
12787	64	242	215	221
12788	261	48	242	243
12789	218	61	242	230
12790	194	64	252	221
12791	258	64	242	243
12792	249	51	239	243
12793	91	242	242	230
12794	48	258	255	230
12795	242	48	237	230
12796	258	48	242	240
12797	233	61	258	230
12798	258	48	215	233
12799	245	64	576	51
12800	252	230	67	252
12801	242	243	54	224
12802	255	51	245	64
12803	242	64	255	233
12804	258	48	242	231
12805	245	64	258	230
12806	255	51	245	1409
12807	230	64	218	243
12808	170	261	239	243
12809	51	245	215	230
12810	197	48	242	240
12811	245	61	255	230
12812	248	61	258	230
12813	242	64	258	230
12814	255	48	242	227
12815	143	258	242	243
12816	48	245	252	233
12817	258	48	242	243
12818	245	61	443	230
12819	255	64	242	243
12820	255	48	242	227
12821	255	64	242	230
12822	51	258	258	230
12823	64	258	242	243
12824	242	64	255	230
12825	234	48	258	218
12826	245	64	258	221
12827	255	51	242	243
12828	245	64	67	64
12829	261	230	67	255
12830	245	243	51	242
12831	255	97	67	64
12832	258	51	242	240
12833	242	61	255	233
12834	255	64	242	230
12835	218	64	252	230
12836	255	51	245	243
12837	51	245	543	227
12838	51	255	258	230
12839	255	48	242	243
12840	245	61	215	243
12841	245	61	255	230
12842	240	51	239	243
12843	242	64	976	64
12844	194	246	67	218
12845	215	230	54	255
12846	197	48	255	64
12847	245	64	255	230
12848	231	48	255	230
12849	255	64	242	218
12850	245	64	255	230
12851	218	64	242	243
12852	64	258	242	218
12853	197	48	242	230
12854	218	64	224	230
12855	194	48	242	243
12856	255	51	642	243
12857	242	64	215	240
12858	245	51	255	230
12859	57	245	255	233
12860	212	61	218	243
12861	245	61	255	230
12862	242	51	255	230
12863	258	64	239	234
12864	245	48	255	64
12865	258	230	67	255
12866	209	246	54	218
12867	242	243	242	64
12868	255	51	258	233
12869	255	61	242	243
12870	245	61	258	230
12871	258	51	239	240
12872	245	64	255	224
12873	64	218	255	230
12874	64	255	239	230
12875	255	51	245	458
12876	245	61	258	230
12877	258	51	239	240
12878	255	64	245	230
12879	261	51	242	243
12880	48	578	442	209
12881	64	258	245	243
12882	242	64	255	230
12883	258	48	255	230
12884	245	64	255	227
12885	321	64	252	233
12886	245	61	258	51
12887	258	230	64	255
12888	242	230	54	239
12889	194	64	218	64
12890	258	51	242	240
12891	255	51	242	230
12892	228	48	215	230
12893	255	51	242	246
12894	228	51	242	482
12895	64	242	255	227
12896	197	64	255	227
12897	215	64	258	230
12898	245	61	258	221
12899	242	61	258	230
12900	218	48	164	64
12901	242	237	51	239
12902	258	230	64	255
12903	245	170	255	51
12904	409	64	252	230
12905	242	64	252	230
12906	258	51	215	230
12907	245	61	215	243
12908	245	64	255	227
12909	64	261	239	230
12910	64	248	215	233
12911	258	51	221	230
12912	215	61	258	230
12913	242	64	255	521
12914	242	51	255	230
12915	215	61	54	51
12916	197	230	67	242
12917	949	230	67	255
12918	230	234	245	61
12919	258	64	245	243
12920	242	51	258	230
12921	255	48	230	243
12922	245	64	252	230
12923	506	64	255	233
12924	48	245	231	230
12925	64	258	245	243
12926	245	61	255	230
12927	258	51	218	230
12928	258	64	242	227
12929	258	51	239	243
12930	245	64	215	64
12931	261	230	64	255
12932	245	230	51	679
12933	194	64	255	218
12934	242	64	252	230
12935	258	48	242	227
12936	245	61	255	230
12937	242	51	255	230
12938	206	224	255	230
12939	64	258	242	243
12940	242	61	242	230
12941	255	51	242	243
12942	566	64	255	230
12943	242	61	255	227
12944	258	48	242	243
12945	51	245	255	230
12946	64	258	242	243
12947	242	64	237	230
12948	258	51	242	230
12949	245	61	218	243
12950	258	51	215	230
12951	245	61	255	51
12952	231	230	64	239
12953	258	221	67	231
12954	237	51	242	64
12955	218	64	242	243
12956	330	61	594	240
12957	206	51	224	230
12958	218	48	237	230
12959	258	51	242	234
12960	51	245	255	230
12961	197	61	249	230
12962	245	61	255	230
12963	258	61	242	243
12964	242	64	231	230
12965	258	48	151	64
12966	245	240	54	242
12967	258	224	64	255
12968	194	48	54	51
12969	227	61	194	206
12970	194	51	194	203
12971	181	51	228	230
12972	218	61	215	243
12973	61	258	239	227
12974	51	227	252	227
12975	245	48	194	243
12976	242	61	245	224
12977	228	51	194	227
12978	240	48	197	233
12979	191	64	191	64
12980	194	488	51	242
12981	194	61	206	64
12982	224	61	255	224
12983	200	61	194	230
12984	245	64	240	230
12985	255	48	194	227
12986	64	194	255	230
12987	61	194	194	203
12988	194	64	240	236
12989	258	48	242	240
12990	300	51	200	206
12991	194	51	200	209
12992	224	61	215	215
12993	324	212	191	203
12994	64	228	215	209
12995	184	51	255	209
12996	248	64	224	203
12997	215	64	252	230
12998	255	51	194	227
12999	245	61	303	64
13000	194	194	67	194
13001	203	197	54	242
13002	197	61	194	64
13003	194	48	230	230
13004	245	64	258	230
13005	242	61	215	243
13006	255	48	215	218
13007	169	245	258	230
13008	64	258	218	224
13009	246	64	242	243
13010	209	64	215	243
13011	264	51	194	209
13012	261	48	218	233
13013	221	48	242	64
13014	258	224	67	224
13015	258	230	67	258
13016	197	64	255	51
13017	255	64	242	230
13018	242	61	400	243
13019	245	61	218	243
13020	255	51	239	230
13021	258	258	242	240
13022	51	242	228	230
13023	197	51	194	243
13024	242	64	242	221
13025	258	48	215	221
13026	242	64	252	230
13027	255	48	154	64
13028	1124	237	54	178
13029	197	230	67	194
13030	237	197	245	64
13031	255	51	178	230
13032	242	64	191	240
13033	224	48	255	230
13034	215	64	242	209
13035	218	64	218	243
13036	61	261	242	233
13037	61	258	448	243
13038	242	64	255	233
13039	255	48	255	230
13040	255	64	245	243
13041	245	64	255	227
13042	258	64	224	243
13043	51	245	252	233
13044	64	258	245	231
13045	258	48	215	233
13046	245	64	255	230
13047	224	61	197	206
13048	245	61	215	48
13049	245	243	51	242
13050	215	230	67	255
13051	230	179	67	61
13052	218	51	255	230
13053	234	51	242	243
13054	221	64	234	257
13055	245	61	255	230
13056	261	48	488	209
13057	48	218	242	234
13058	64	255	242	240
13059	245	64	221	230
13060	245	64	228	227
13061	194	61	255	230
13062	261	61	242	216
13063	258	61	67	48
13064	242	230	67	245
13065	231	230	67	224
13066	194	51	54	51
13067	327	48	194	230
13068	215	64	258	230
13069	258	51	242	231
13070	245	64	255	230
13071	64	206	258	221
13072	51	255	224	206
13073	197	61	215	240
13074	218	61	221	243
13075	255	64	621	255
13076	197	51	218	221
13077	218	64	228	51
13078	245	240	54	242
13079	255	224	64	255
13080	224	64	67	51
13081	258	48	194	209
13082	197	61	255	221
13083	255	48	242	234
13084	242	64	218	243
13085	243	51	242	206
13086	64	255	242	231
13087	51	242	255	227
13088	258	48	242	240
13089	245	64	255	230
13090	258	61	242	227
13091	194	51	242	243
13092	218	48	242	243
13093	64	218	255	221
13094	64	218	239	455
13095	218	64	218	243
13096	194	61	255	230
13097	245	64	215	243
13098	258	64	242	230
13099	242	64	255	230
13100	64	258	218	230
13101	64	255	245	227
13102	218	64	255	233
13103	242	61	949	551
13104	309	48	194	206
13105	218	64	191	230
13106	258	51	242	234
13107	245	61	64	252
13108	221	221	54	242
13109	242	246	145	61
13110	255	48	242	246
13111	218	48	218	230
13112	255	48	242	243
13113	242	61	218	476
13114	245	51	231	230
13115	48	242	255	233
13116	51	245	255	227
13117	258	48	215	230
13118	242	64	255	227
13119	258	61	242	230
13120	242	64	258	221
13121	255	51	245	243
13122	48	242	255	230
13123	64	218	194	243
13124	255	61	242	243
13125	255	48	242	243
13126	242	61	255	233
13127	258	51	197	230
13128	230	61	215	243
13129	64	258	215	218
13130	51	215	215	240
13131	242	64	258	230
13132	224	61	258	530
13133	255	51	227	227
13134	242	61	255	230
13135	231	51	148	64
13136	258	230	67	228
13137	258	230	64	242
13138	234	142	51	61
13139	242	51	255	218
13140	258	48	242	240
13141	245	61	255	230
13142	488	64	1367	227
13143	245	61	255	227
13144	267	197	258	221
13145	64	245	255	230
13146	243	48	242	243
13147	197	48	215	233
13148	245	64	258	230
13149	242	64	221	230
13150	255	64	215	240
13151	245	61	255	627
13152	61	255	242	243
13153	194	51	242	221
13154	258	48	255	230
13155	245	61	255	230
13156	245	51	255	218
13157	255	64	242	206
13158	224	224	224	243
13159	64	255	230	237
13160	194	64	255	230
13161	539	64	255	233
13162	258	48	242	243
13163	242	64	242	233
13164	255	51	242	230
13165	245	64	255	230
13166	61	245	255	230
13167	64	255	227	243
13168	218	48	215	221
13169	242	64	255	230
13170	255	51	242	243
13171	231	51	245	231
13172	181	51	258	230
13173	64	255	242	243
13174	61	315	230	221
13175	255	64	242	243
13176	245	61	255	230
13177	258	51	245	243
13178	242	64	258	230
13179	255	48	269	645
13180	51	409	242	206
13181	64	258	245	243
13182	245	64	255	230
13183	255	48	242	243
13184	245	61	242	230
13185	245	51	237	230
13186	258	48	194	230
13187	106	218	228	230
13188	64	258	215	218
13189	242	64	255	230
13190	240	48	242	237
13191	258	48	236	233
13192	255	64	242	227
13193	218	64	255	230
13194	64	258	242	221
