Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
598	51	245	255	230
599	242	64	258	230
600	228	48	242	230
601	245	48	255	221
602	224	51	348	243
603	48	218	242	243
604	245	64	258	218
605	245	64	258	230
606	255	51	242	243
607	51	549	312	221
608	64	61	258	230
609	258	64	218	234
610	255	48	215	227
611	258	61	242	64
612	255	230	64	242
613	255	64	215	64
614	255	51	242	243
615	228	51	242	243
616	242	64	255	227
617	51	245	255	230
618	215	64	255	230
619	224	51	255	218
620	258	51	242	243
621	240	64	385	230
622	51	245	255	230
623	258	51	242	243
624	245	64	224	230
625	245	51	258	230
626	51	258	258	230
627	64	64	224	240
628	242	64	252	218
629	245	51	255	233
630	245	61	221	64
631	245	243	54	242
632	242	64	258	230
633	255	48	242	234
634	242	61	242	230
635	124	51	258	230
636	48	245	255	218
637	258	48	242	246
638	218	51	242	243
639	245	64	161	48
640	258	230	67	218
641	197	48	245	64
642	1206	51	242	246
643	245	64	255	230
644	258	64	239	221
645	51	245	255	218
646	258	61	242	243
647	245	64	224	221
648	258	51	242	230
649	139	61	255	230
650	51	258	215	233
651	242	61	255	230
652	255	51	245	243
653	242	64	221	64
654	242	243	54	242
655	181	51	255	64
656	258	51	242	221
657	231	51	239	243
658	258	48	245	243
659	64	258	630	243
660	258	48	242	230
661	255	64	242	243
662	255	51	242	243
663	242	61	67	51
664	242	243	54	48
665	258	48	245	243
666	245	64	252	221
667	258	64	242	243
668	197	64	258	230
669	61	255	258	230
670	242	64	258	230
671	261	51	242	243
672	245	61	255	230
673	64	258	215	230
674	64	64	255	230
675	237	51	242	243
676	234	48	242	227
677	255	51	242	64
678	51	245	255	445
679	258	48	242	234
680	242	64	255	230
681	1206	61	258	230
682	51	255	258	230
683	61	97	255	230
684	245	64	258	233
685	255	51	242	221
686	242	64	252	233
687	61	245	242	227
688	288	64	234	230
689	242	64	255	233
690	258	48	245	243
691	245	51	73	64
692	255	230	67	185
693	218	61	255	230
694	245	61	239	227
695	218	64	255	230
696	85	64	255	230
697	51	245	242	458
698	255	51	242	246
699	215	64	245	230
700	245	61	164	51
701	245	243	54	242
702	258	48	245	64
703	245	64	255	230
704	258	48	242	227
705	255	51	215	230
706	61	258	242	243
707	342	64	255	233
708	255	51	215	230
709	242	61	242	230
710	245	48	255	64
711	255	230	67	231
712	258	64	245	64
713	258	64	242	243
714	239	64	255	221
715	255	64	255	230
716	64	261	239	485
717	242	64	255	218
718	627	64	252	227
719	255	61	230	64
720	242	243	54	242
721	231	48	242	61
722	245	64	255	230
723	258	51	242	240
724	245	64	255	227
725	64	255	245	243
726	51	51	258	230
727	255	51	242	243
728	242	61	215	240
729	255	51	239	243
730	64	255	242	243
731	258	64	218	243
732	242	61	242	230
733	218	61	224	243
734	48	245	258	227
735	61	64	242	230
736	218	51	242	243
737	245	61	258	221
738	255	61	242	243
739	64	215	258	230
740	245	64	258	221
741	245	64	255	230
742	255	64	239	227
743	245	61	64	255
744	258	230	67	61
745	560	64	258	230
746	255	64	242	243
747	242	61	255	230
748	79	64	255	227
749	64	242	242	243
750	255	51	242	246
751	242	64	258	227
752	255	48	215	233
753	258	61	51	242
754	255	230	67	61
755	515	64	242	230
756	255	48	242	243
757	245	61	255	230
758	64	51	245	243
759	48	245	255	230
760	258	51	242	243
761	242	64	255	230
762	245	48	255	64
763	258	224	64	255
764	197	48	242	64
765	242	64	258	233
766	245	64	218	243
767	242	64	258	230
768	51	245	258	230
769	242	64	261	227
770	245	61	255	230
771	258	48	215	230
772	248	64	64	64
773	245	243	54	145
774	242	64	252	227
775	255	64	242	231
776	245	64	255	230
777	258	51	245	243
778	48	245	252	233
779	258	48	242	230
780	245	61	255	230
781	258	48	242	64
782	245	243	51	242
783	197	61	212	64
784	242	61	242	230
785	258	51	242	243
786	245	64	224	230
787	51	245	255	227
788	258	64	242	243
789	245	61	228	230
790	258	61	215	106
791	258	48	54	942
792	245	243	51	63
793	255	51	258	230
794	255	64	242	240
795	245	61	258	227
796	64	61	258	230
797	48	242	255	230
798	258	61	242	227
799	242	64	255	227
800	258	48	151	64
801	245	243	51	242
802	191	64	297	64
803	242	61	255	221
804	245	64	258	230
805	242	61	255	230
806	64	255	242	243
807	48	64	258	230
808	245	48	255	230
809	245	64	215	237
810	242	51	258	64
811	245	243	54	242
812	197	61	242	64
813	258	64	242	230
814	258	48	224	230
815	255	64	245	230
816	51	245	252	227
817	258	64	218	243
818	245	64	255	230
819	237	51	245	246
820	51	51	239	221
821	51	666	255	230
822	218	64	242	243
823	245	61	255	221
824	242	61	255	230
825	218	64	152	64
826	242	246	54	218
827	245	48	258	230
828	239	64	1124	394
829	242	64	255	218
830	242	51	242	243
831	61	218	234	230
832	245	48	258	230
833	255	51	255	230
834	242	64	215	243
835	48	245	258	230
836	64	64	258	230
837	258	51	242	227
838	237	48	242	240
839	242	64	252	64
840	245	588	64	64
841	242	48	258	230
842	242	64	252	227
843	245	48	258	221
844	242	64	255	233
845	48	242	255	230
846	258	64	242	227
847	242	64	258	218
848	255	51	148	64
849	258	227	67	258
850	261	48	242	64
851	245	61	255	230
852	255	51	242	243
853	242	64	258	230
854	64	258	239	243
855	245	64	255	230
856	258	48	242	230
857	215	64	239	230
858	255	51	242	243
859	51	245	506	243
860	255	51	218	230
861	255	64	242	243
862	224	64	173	51
863	258	230	64	255
864	245	61	255	64
865	966	64	255	227
866	245	51	255	221
867	258	64	245	230
868	61	218	258	230
869	255	51	242	218
870	245	51	255	230
871	255	51	242	243
872	139	48	258	230
873	48	255	242	230
874	242	64	237	230
875	255	61	224	243
876	215	61	255	230
877	64	264	242	243
878	51	48	227	445
879	255	64	242	230
880	221	64	258	230
881	258	51	230	64
882	242	243	51	242
883	218	64	252	227
884	245	61	255	221
885	255	48	245	221
886	122	48	242	243
887	64	258	242	243
888	230	61	242	243
889	245	64	255	230
890	242	64	255	51
891	245	243	54	239
892	243	51	218	51
893	255	51	239	230
894	258	61	242	243
895	221	61	215	240
896	64	255	245	230
897	48	51	242	476
898	258	48	242	240
899	245	61	255	230
900	840	48	54	64
901	242	243	54	215
902	245	51	258	64
903	258	48	242	240
904	258	51	242	218
905	245	64	252	230
906	64	242	255	230
907	263	64	252	233
908	255	48	242	243
909	242	64	258	230
910	64	51	242	243
911	51	245	255	230
912	242	48	255	230
913	258	61	245	230
914	215	61	255	51
915	245	243	51	242
916	194	51	245	64
917	258	61	242	230
918	245	61	215	240
919	245	61	255	230
920	51	242	255	230
921	245	64	255	224
922	245	61	255	230
923	221	51	255	230
924	64	51	245	227
925	51	255	255	230
926	333	64	258	230
927	255	48	245	243
928	242	64	255	230
929	64	218	234	227
930	51	51	245	243
931	255	51	242	243
932	245	61	215	240
933	227	61	258	230
934	48	258	252	227
935	258	51	221	503
936	242	61	255	230
937	964	48	242	64
938	64	258	239	234
939	64	51	242	240
940	242	64	255	233
941	255	51	242	221
942	258	64	242	243
943	48	245	258	230
944	258	64	242	240
945	430	64	255	233
946	258	61	245	230
947	51	245	255	230
948	61	64	255	233
949	242	64	255	230
950	218	61	255	230
951	255	51	239	64
952	258	221	67	255
953	242	64	255	48
954	255	64	245	561
955	245	61	255	227
956	255	51	242	243
957	48	245	252	227
958	258	48	242	230
959	245	61	255	230
960	255	51	151	64
961	51	258	255	230
962	61	61	245	230
963	242	64	218	243
964	554	64	255	233
965	215	51	242	243
966	51	242	255	224
967	258	48	242	243
968	218	61	242	230
969	242	64	258	51
970	242	243	54	242
971	197	61	215	48
972	245	61	255	221
973	258	51	242	697
974	218	64	258	230
975	64	239	245	243
976	51	51	255	230
977	242	64	231	230
978	258	64	242	227
979	258	48	245	61
980	48	245	215	230
981	245	51	255	230
982	245	61	242	230
983	630	64	255	51
984	242	230	54	255
985	245	230	67	64
986	258	61	245	227
987	255	51	242	243
988	245	64	255	230
989	48	245	255	221
990	64	64	215	240
991	255	51	242	243
992	242	61	242	227
993	242	64	255	64
994	245	243	51	242
995	245	61	255	230
996	258	48	245	243
997	245	64	252	230
998	255	51	242	243
999	48	245	255	230
1000	258	51	242	243
1001	242	64	258	230
1002	255	48	242	243
1003	51	245	215	243
1004	51	51	258	230
1005	224	51	242	243
1006	242	64	234	230
1007	242	64	258	51
1008	64	255	245	240
1009	245	61	218	231
1010	255	51	242	434
1011	218	48	151	64
1012	258	230	67	215
1013	258	64	242	64
1014	218	64	258	230
1015	242	61	242	230
1016	258	48	242	227
1017	64	231	221	230
1018	64	64	242	243
1019	242	64	242	233
1020	255	51	218	230
1021	242	61	227	64
1022	258	230	64	242
1023	255	51	230	240
1024	245	61	255	230
1025	258	48	242	243
1026	82	48	242	234
1027	64	258	255	230
1028	245	48	231	230
1029	258	51	242	221
1030	242	64	264	51
1031	51	242	255	227
1032	48	64	255	233
1033	255	51	242	246
1034	258	61	242	230
1035	245	64	252	233
1036	64	258	242	243
1037	248	61	255	230
1038	242	64	258	230
1039	255	48	242	230
1040	255	64	318	64
1041	64	255	242	240
1042	242	64	239	230
1043	242	61	228	227
1044	245	61	164	64
1045	51	245	255	230
1046	64	64	252	221
1047	1330	64	215	234
1048	215	64	258	230
1049	242	61	255	51
1050	258	230	64	239
1051	215	64	245	64
1052	255	51	258	224
1053	242	64	255	227
1054	243	51	242	243
1055	51	258	252	227
1056	64	64	239	227
1057	224	64	224	240
1058	258	64	245	246
1059	255	64	427	243
1060	61	255	218	227
1061	258	61	242	243
1062	245	64	258	230
1063	242	64	224	118
1064	82	64	258	221
1065	51	258	255	230
1066	215	64	255	218
1067	242	64	252	221
1068	242	64	167	64
1069	231	230	64	255
